geoName,inconsolable
Alabama,62
Alaska,0
Arizona,28
Arkansas,0
California,35
Colorado,34
Connecticut,28
Delaware,0
District of Columbia,33
Florida,30
Georgia,36
Hawaii,26
Idaho,0
Illinois,31
Indiana,24
Iowa,28
Kansas,30
Kentucky,12
Louisiana,100
Maine,0
Maryland,58
Massachusetts,47
Michigan,32
Minnesota,31
Mississippi,24
Missouri,35
Montana,0
Nebraska,41
Nevada,48
New Hampshire,76
New Jersey,43
New Mexico,27
New York,51
North Carolina,19
North Dakota,0
Ohio,39
Oklahoma,29
Oregon,32
Pennsylvania,44
Rhode Island,0
South Carolina,33
South Dakota,0
Tennessee,30
Texas,29
Utah,28
Vermont,0
Virginia,25
Washington,38
West Virginia,68
Wisconsin,7
Wyoming,0
