geoName,hot-line
Alabama,0
Alaska,0
Arizona,26
Arkansas,0
California,47
Colorado,0
Connecticut,42
Delaware,0
District of Columbia,0
Florida,53
Georgia,27
Hawaii,0
Idaho,0
Illinois,20
Indiana,30
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,26
Massachusetts,18
Michigan,16
Minnesota,0
Mississippi,0
Missouri,57
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,100
New Mexico,0
New York,58
North Carolina,0
North Dakota,0
Ohio,61
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,79
South Dakota,0
Tennessee,0
Texas,47
Utah,0
Vermont,0
Virginia,0
Washington,83
West Virginia,0
Wisconsin,0
Wyoming,0
