geoName,demoralized
Alabama,36
Alaska,0
Arizona,44
Arkansas,0
California,25
Colorado,23
Connecticut,19
Delaware,0
District of Columbia,25
Florida,21
Georgia,14
Hawaii,100
Idaho,0
Illinois,15
Indiana,39
Iowa,59
Kansas,0
Kentucky,11
Louisiana,19
Maine,0
Maryland,28
Massachusetts,17
Michigan,11
Minnesota,21
Mississippi,0
Missouri,6
Montana,0
Nebraska,0
Nevada,26
New Hampshire,0
New Jersey,7
New Mexico,0
New York,26
North Carolina,37
North Dakota,0
Ohio,14
Oklahoma,34
Oregon,11
Pennsylvania,32
Rhode Island,0
South Carolina,22
South Dakota,0
Tennessee,38
Texas,23
Utah,0
Vermont,0
Virginia,40
Washington,16
West Virginia,0
Wisconsin,34
Wyoming,0
