geoName,finality
Alabama,0
Alaska,0
Arizona,16
Arkansas,0
California,33
Colorado,23
Connecticut,12
Delaware,0
District of Columbia,100
Florida,24
Georgia,19
Hawaii,0
Idaho,0
Illinois,27
Indiana,45
Iowa,44
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,39
Massachusetts,27
Michigan,10
Minnesota,37
Mississippi,0
Missouri,41
Montana,0
Nebraska,0
Nevada,22
New Hampshire,0
New Jersey,54
New Mexico,0
New York,48
North Carolina,20
North Dakota,0
Ohio,29
Oklahoma,0
Oregon,0
Pennsylvania,37
Rhode Island,0
South Carolina,15
South Dakota,0
Tennessee,29
Texas,29
Utah,77
Vermont,0
Virginia,53
Washington,33
West Virginia,0
Wisconsin,28
Wyoming,0
