geoName,tearful
Alabama,60
Alaska,0
Arizona,81
Arkansas,0
California,65
Colorado,67
Connecticut,73
Delaware,0
District of Columbia,16
Florida,43
Georgia,89
Hawaii,0
Idaho,0
Illinois,47
Indiana,72
Iowa,0
Kansas,0
Kentucky,100
Louisiana,63
Maine,0
Maryland,83
Massachusetts,50
Michigan,79
Minnesota,81
Mississippi,0
Missouri,70
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,75
New Mexico,0
New York,76
North Carolina,81
North Dakota,0
Ohio,43
Oklahoma,59
Oregon,24
Pennsylvania,37
Rhode Island,0
South Carolina,56
South Dakota,0
Tennessee,54
Texas,61
Utah,39
Vermont,0
Virginia,77
Washington,72
West Virginia,0
Wisconsin,33
Wyoming,0
