geoName,discontented
Alabama,71
Alaska,0
Arizona,0
Arkansas,0
California,34
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,30
Georgia,32
Hawaii,0
Idaho,0
Illinois,28
Indiana,48
Iowa,0
Kansas,0
Kentucky,0
Louisiana,28
Maine,0
Maryland,83
Massachusetts,57
Michigan,21
Minnesota,0
Mississippi,67
Missouri,35
Montana,0
Nebraska,0
Nevada,46
New Hampshire,0
New Jersey,46
New Mexico,0
New York,32
North Carolina,54
North Dakota,0
Ohio,41
Oklahoma,0
Oregon,100
Pennsylvania,60
Rhode Island,0
South Carolina,33
South Dakota,0
Tennessee,0
Texas,27
Utah,0
Vermont,0
Virginia,62
Washington,12
West Virginia,0
Wisconsin,0
Wyoming,0
