geoName,nightmarish
Alabama,39
Alaska,0
Arizona,27
Arkansas,0
California,19
Colorado,9
Connecticut,15
Delaware,0
District of Columbia,0
Florida,13
Georgia,13
Hawaii,0
Idaho,100
Illinois,25
Indiana,50
Iowa,0
Kansas,0
Kentucky,17
Louisiana,47
Maine,50
Maryland,18
Massachusetts,34
Michigan,18
Minnesota,76
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,21
New Hampshire,0
New Jersey,35
New Mexico,0
New York,15
North Carolina,30
North Dakota,0
Ohio,35
Oklahoma,0
Oregon,35
Pennsylvania,33
Rhode Island,0
South Carolina,18
South Dakota,0
Tennessee,10
Texas,12
Utah,20
Vermont,0
Virginia,24
Washington,34
West Virginia,0
Wisconsin,22
Wyoming,0
