geoName,grouchy
Alabama,25
Alaska,0
Arizona,49
Arkansas,36
California,37
Colorado,35
Connecticut,28
Delaware,79
District of Columbia,23
Florida,33
Georgia,36
Hawaii,49
Idaho,20
Illinois,36
Indiana,37
Iowa,35
Kansas,27
Kentucky,45
Louisiana,54
Maine,0
Maryland,36
Massachusetts,35
Michigan,28
Minnesota,31
Mississippi,50
Missouri,39
Montana,0
Nebraska,40
Nevada,100
New Hampshire,38
New Jersey,28
New Mexico,26
New York,27
North Carolina,37
North Dakota,0
Ohio,39
Oklahoma,28
Oregon,16
Pennsylvania,28
Rhode Island,0
South Carolina,32
South Dakota,0
Tennessee,33
Texas,48
Utah,16
Vermont,0
Virginia,19
Washington,60
West Virginia,48
Wisconsin,29
Wyoming,0
